Sr_no,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Moisture,Quakers,Category_One_Defects,Category_Two_Defects,altitude_mean_meters,Total_Cup_Points
1,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,0.12,0,0,0,2075,90.58
2,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,0.12,0,0,1,2075,89.92
3,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,0,0,0,0,1700,89.75
4,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,0.11,0,0,2,2000,89
5,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,0.12,0,0,2,2075,88.83
6,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,0.11,0,0,1,1775.030545,88.83
7,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,0.11,0,0,0,1775.030545,88.75
8,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,0.03,0,0,0,1635,88.67
9,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,0.03,0,0,0,1635,88.42
10,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,0.1,0,0,4,1822.5,88.25
11,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,0.1,0,0,1,1905,88.08
12,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,0,0,0,0,1872,87.92
13,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,0,0,0,0,1943,87.92
14,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,0,0,0,2,609.6,87.92
15,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,0.05,0,0,2,1635,87.83
16,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,0,0,0,0,2080,87.58
17,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,0.03,0,0,0,1500,87.42
18,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,0.05,0,0,2,1775.030545,87.33
19,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,0.1,0,0,0,1450,87.25
20,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,0,0,0,8,1850,87.25
21,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,0,0,0,0,2019,87.25
22,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,0.11,0,0,2,1300,87.17
23,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,0.13,0,0,0,1320,87.17
24,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,0,0,0,0,2112,87.08
25,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,0.11,0,0,1,1775.030545,87.08
26,8.5,8.5,8,8,8,8,10,10,10,7.92,0.12,0,0,2,1250,86.92
27,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,0.05,0,0,2,1775.030545,86.92
28,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,0.12,0,0,1,1950,86.83
29,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,0.1,0,0,3,1400,86.67
